nome,tipo,uf,municipio,latitude,longitude,fonte,fonte_url
LABHacker,Laboratório de Inovação,DF,Brasília,-15.7801,-47.9292,lisp_brasil_mapeamento,https://labhackercd.leg.br/
LABHINOVA - Laboratório Hacker de Inovação,Laboratório de Inovação,DF,Brasília,-15.7801,-47.9292,lisp_brasil_mapeamento,https://www.cl.df.gov.br/labhinova
LABIC - Laboratório de Inovação Cidadã,Laboratório de Inovação,RJ,Rio de Janeiro,-22.9068,-43.1729,lisp_brasil_mapeamento,
Labifor - Laboratório de Inovação de Fortaleza,Laboratório de Inovação,CE,Fortaleza,-3.7172,-38.5433,lisp_brasil_mapeamento,
LABIGOV - Laboratório de Inovação em Governo da EGMA,Laboratório de Inovação,MA,São Luís,-2.5307,-44.3068,lisp_brasil_mapeamento,
LabiLá – Laboratório de Inovação Governamental e Social de Lajeado,Laboratório de Inovação,RS,Porto Alegre,-30.0346,-51.2177,lisp_brasil_mapeamento,https://www.instagram.com/labilajeado/
Labinova MPRN,Laboratório de Inovação,RN,Natal,-5.7945,-35.211,lisp_brasil_mapeamento,
LABITSS - Laboratório de Inovação Tecnológica e Social na Saúde,Laboratório de Inovação,RJ,Rio de Janeiro,-22.9068,-43.1729,lisp_brasil_mapeamento,
LabLeg - Laboratório de Inovação da Câmara Municipal de Sorocaba,Laboratório de Inovação,SP,São Paulo,-23.5505,-46.6333,lisp_brasil_mapeamento,
LABNIT - Laboratório de Inovação de Niterói,Laboratório de Inovação,RJ,Rio de Janeiro,-22.9068,-43.1729,lisp_brasil_mapeamento,http://egg.seplag.niteroi.rj.gov.br/labnit/
Laboratorio de Inovação da ANVISA - LAB-i VISA,Laboratório de Inovação,DF,Brasília,-15.7801,-47.9292,lisp_brasil_mapeamento,
Laboratório de Inovação da Câmara Municipal de Sorocaba - LabLeg,Laboratório de Inovação,SP,São Paulo,-23.5505,-46.6333,lisp_brasil_mapeamento,http://www.camarasorocaba.sp.gov.br/page.html?id=615b3402344118fff9e9a9e9
Laboratório de Inovação da MTI,Laboratório de Inovação,MT,Cuiabá,-15.6014,-56.0979,lisp_brasil_mapeamento,
Laboratório de Inovação da PGE-MT,Laboratório de Inovação,MT,Cuiabá,-15.6014,-56.0979,lisp_brasil_mapeamento,
Laboratório de Inovação do FNDE,Laboratório de Inovação,DF,Brasília,-15.7801,-47.9292,lisp_brasil_mapeamento,
Laboratório de Inovação do ICTB,Laboratório de Inovação,RJ,Rio de Janeiro,-22.9068,-43.1729,lisp_brasil_mapeamento,
Laboratório de Inovação do Ministério Público do Maranhão,Laboratório de Inovação,MA,São Luís,-2.5307,-44.3068,lisp_brasil_mapeamento,
Laboratório de Inovação do Setor Público da CGE-PE,Laboratório de Inovação,PE,Recife,-8.0476,-34.877,lisp_brasil_mapeamento,
Laboratório de Inovação do TCDF,Laboratório de Inovação,DF,Brasília,-15.7801,-47.9292,lisp_brasil_mapeamento,
Laboratório de Inovação e Produtos Previdenciários da Funpresp,Laboratório de Inovação,SP,São Paulo,-23.5505,-46.6333,lisp_brasil_mapeamento,
